39074;39992;36783;40780
33405;36433;35902;41370
40628;41614;34206;40650
40734;41441;34486;37418
36856;34836;39002;42139
36996;42441;38877;42592
33430;42146;38749;38230
37114;37643;38960;42235
38812;37680;33837;42627
38379;33745;33754;37173
38661;37465;34938;40018
37269;39173;34706;41982
32851;38814;34036;39471
35287;39131;33652;36941
34161;38233;35118;35734
31421;33913;38798;36214
36693;35954;39136;39703
35180;35059.94005994006;39383;39664
36350;32794;38072;39647
39284;37642;38527;40119
38925;35157;39933;34536
39367;35995;39181;34611
38363;39670;38207;35289
40096;39315;39439;35048
39224;39535;38182;35738
38053;37478;36740;34187
38948;39423;37869;35470
39140;39629;36148;39312
36386;38356;36767;39254
37037;39162;35734;39649
37935;39818;36148;38535
35498;37230;37189;38215
35299;37468;37138;40406
36907;38219;39143;39353
35246;36093;39202;38297
36502;35812;38876;39780
38435;37472;38963;38212
38689;35529;39070;36851
38819;37187;38944;38193
38650;38626;38634;36114
38533;39361;37733;37108
38941;39342;38507;36308
38652;39530;38908;35980
38583;39228;38330;37524
36901;39260;38140;37805
38506;39061;38887;39219
38019;39293;38871;39416
38437;37566;38814;39271
37900;38986;37572;39303
38693;38524;36823;39308
38475;39053;38693;39304
38141;37774;39405;39057
36842;39019;38963;37988
38143;39049;39070;39123
38841;38808;38781;39124
38857;37338;38046;38647
38838;38609;37962;37803
38771;39386;36696;39090
38094;39421;34283;39103
37839;39278;33584;39078
37525;39295;33723;37638
34699;38620;33809;36972
33831;38158;34965;39821
34108;38261;35433;39850
33176;35812;27258;39761
34798;34668;34710;39775
34534;35324;36359;39600
32335;33698;32341;39030
28874;34972;33625;38559
36064;34965;35268;37225
35708;32695;38300;34221
31181;30053;37451;34622
34293;36424;36072;34586
36091;35609;38319;34303
38276;30962;36832;35562
35693;34398;36835;35850
37169;36346;39157;27861
38273;38781;34747;35472
34897;36199;32854;36151
38975;37916;38739;32519
37546;38633;38453;33863
33138;35441;37003;35566
34505;39436;38374;38800
38301;37972;38383;38008
37816;33406;38420;36328
37547;35056;35631;38663
38202;38957;38754;36890
38517;38241;38365;37311
35394;37808;36375;39518
37352;38316;36407;35717
38499;39267;37855;32368
37130;36051;36775;39081
35087;37538;38513;38990
38100;38869;37821;37239
36649;37594;38660;38365
37412;35762;37815;38919
37529;38871;38666;37740
38010;37081;37233;36654
37900;37663;37946;38867
38407;38074;37858;38444
37667;38377;37747;35957
37076;38491;38866;37475
37350;38925;39269;37952
37721;37891;32692;37527
37582;36584;37210;38821
38382;37627;38502;37903
36573;38185;39559;38854
34311;38021;39735;38135
36194;39104;39222;38909
38433;37348;38416;37428
39728;35014;36748;38284
39184;37164;38423;38258
38711;39070;37778;37316
36673;40171;38022;39276
37803;39645;38664;39200
38382;39073;38844;33594
37297;37272;38014;37064
37963;38015;38864;39079
38591;38726;38832;40087
38635;37855;38850;40255
37669;38540;38722;39380
39074;39109;38799;38490
38548;38967;38103;37310
38382;37882;36883;38540
38409;39732;35980;37704
38583;38893;34825;38360
37646;39114;34271;39364
37170;38792;37457;38809
34448;38927;42606;38192
33301;38043;42060;39654
35224;37387;43169;38897
39529;35202;42082;39132
