34610;33267;33836;32816;32520;32795;32289;32398;32500;32050
33792;37751;34953;34868;35343;35003;33943;33816;35123;34811
34167;37930;35570;35675;35149;33315;33282;34085;33289;33770
28501;37711;34637;33606;31943;33953;33642;32830;35281;35234
30707;38995;33525;34600;35430;35573;35519;36841;36545;38067
31651;36857;35235;38608;36146;37515;35966;37360;37355;37874
32974;36702;37836;38024;37154;37688;35663;37369;38535;37997
35493;36086;37784;38761;37388;36434;36015;37547;38443;36452
38795;35181;37762;37492;37363;36131;36505;37288;34961;35680
38931;36579;37655;38556;37378;35063;36927;37450;36241;38195
39079;36393;37553;34351;35870;37111;37073;37305;37837;38176
38632;35954;37598;39078;36092;37489;37468;37451;33122;37541
38146;37550;37841;32869;36825;37492;37280;37421;35795;38258
38527;38109;37797;38992;36927;37522;37517;37594;38302;38199
38069;37667;37810;39324;36320;37596;36652;37545;37108;38317
38879;32812;37761;39117;36861;37473;35538;37625;38341;37971
38206;34647;36375;38510;36544;37405;37046;37215;37648;37950
38544;32379;35708;38674;37030;37497;37583;37560;38204;38104
36450;35485;35722;39002;35364;37413;37553;37489;37785;38082
37603;37079;30294;38616;37181;37523;37610;37537;38242;37123
37681;37570;24152;38230;37631;37277;37634;36388;38155;37627
37566;29954;36624;37088;37558;37289;37590;34426;38565;37554
35939;23639;38465;36629;37506;37514;37589;35435;38600;37573
34161;37205;37455;33602;37385;37504;37321;36373;38237;37582
36471;37986;37299;36853;37607;37580;37386;37224;38589;37533
37883;32464;38020;36964;37491;37448;37161;35769;37433;37147
36599;28234;37884;37585;37321;37726;37548;36693;38313;37767
36695;36790;37503;37780;35639;37603;37636;37005;38526;38260
38278;36101;38163;37746;35485;37619;37371;37191;38438;37813
38612;37971;36207;37476;37165;37444;37684;38110;38131;38295
38908;38385;35469;37685;36693;37609;37600;36596;36858;37809
37385;38057;34733;37608;37442;36700;37568;37996;38201;38301
38205;38220;36009;37720;37694;31801;37152;38188;38178;38130
37732;38669;36978;37761;37721;34305;37011;37790;38292;38417
37965;37495;36369;37811;37552;36554;37182;36496;38239;38326
37633;37918;36739;36580;37668;37588;36021;36243;38418;38067
38708;38289;37480;37693;37644;36669;34929;35990;38422;38346
35645;38615;37318;37577;37606;37554;34202;36781;38566;38240
37919;38512;37635;36177;36092;37631;34706;37249;38050;38221
35318;38890;37553;37541;36420;37617;36094;37160;38264;38242
38217;38769;37459;37687;37260;36878;35489;37296;38455;38139
38099;38665;37502;37594;37621;37059;37977;37233;37486;37504
38203;38691;37605;37709;37067;36827;38284;37173;38559;38161
38560;38448;37690;37599;35344;37400;38404;37513;38398;38294
38095;38745;37462;36795;37081;37487;36810;37500;38098;38092
38243;38698;37219;37813;36732;37135;35410;36274;38651;38342
