35017;32634;35698;35485;34597;33880;35852;33343;34569;35485;34610;33267;33836;32816;32520;32795;32289;32398;32500;32050
37380;35904;37342;37794;36413;35230;37840;33208;36891;37752;33792;37751;34953;34868;35343;35003;33943;33816;35123;34811
36445;35214;36941;37831;33271;35205;37820;34843;37856;37758;34167;37930;35570;35675;35149;33315;33282;34085;33289;33770
38061;35271;37238;38229;35569;34664;38248;36555;38266;37781;28501;37711;34637;33606;31943;33953;33642;32830;35281;35234
39106;37393;38845;39213;36123;34237;39179;38997;39181;39109;30707;38995;33525;34600;35430;35573;35519;36841;36545;38067
38925;36831;38998;39189;37179;37382;38110;39368;39357;39217;31651;36857;35235;38608;36146;37515;35966;37360;37355;37874
39103;36983;39009;39217;38291;37876;37374;39198;39120;39220;32974;36702;37836;38024;37154;37688;35663;37369;38535;37997
39071;35884;38962;39128;38601;35203;38506;39061;39309;39186;35493;36086;37784;38761;37388;36434;36015;37547;38443;36452
39038;37332;37682;39066;38473;37228;38914;39152;39273;39157;38795;35181;37762;37492;37363;36131;36505;37288;34961;35680
37242;36937;37483;39129;35236;36425;39027;39164;39321;39280;38931;36579;37655;38556;37378;35063;36927;37450;36241;38195
36569;37185;38372;39031;38012;38897;39272;39348;39240;39203;39079;36393;37553;34351;35870;37111;37073;37305;37837;38176
37642;36684;38646;39232;38718;36907;39269;39346;39353;39170;38632;35954;37598;39078;36092;37489;37468;37451;33122;37541
37788;37635;39136;39279;39165;37543;39262;39307;39290;39064;38146;37550;37841;32869;36825;37492;37280;37421;35795;38258
39092;35966;39134;39257;38709;38954;39340;39227;39295;39172;38527;38109;37797;38992;36927;37522;37517;37594;38302;38199
39004;36671;39058;39235;38888;38958;39217;39167;39325;39124;38069;37667;37810;39324;36320;37596;36652;37545;37108;38317
36227;37094;37954;38624;38427;38952;38627;38808;38662;38516;38879;32812;37761;39117;36861;37473;35538;37625;38341;37971
36504;36553;38829;38896;38218;38693;38744;38860;38858;38784;38206;34647;36375;38510;36544;37405;37046;37215;37648;37950
37486;37498;38971;38846;38106;38728;38769;38963;38840;38730;38544;32379;35708;38674;37030;37497;37583;37560;38204;38104
35756;37176;37863;38901;38094;37897;38686;38752;38695;38752;36450;35485;35722;39002;35364;37413;37553;37489;37785;38082
36684;35804;38226;38826;37125;37383;38670;38808;38961;38746;37603;37079;30294;38616;37181;37523;37610;37537;38242;37123
36357;36740;38871;38777;37416;38420;38283;38817;38417;38972;37681;37570;24152;38230;37631;37277;37634;36388;38155;37627
36944;36922;38807;38024;37290;38686;38789;38839;38939;38893;37566;29954;36624;37088;37558;37289;37590;34426;38565;37554
37671;37335;39074;37874;34415;38254;38412;38736;38820;38739;35939;23639;38465;36629;37506;37514;37589;35435;38600;37573
36353;38157;38824;38437;35264;38318;38730;38888;38813;38788;34161;37205;37455;33602;37385;37504;37321;36373;38237;37582
34619;34800;38730;34970;32109;38627;38876;38660;38852;38819;36471;37986;37299;36853;37607;37580;37386;37224;38589;37533
34810;35214;38381;35739;33065;38822;38833;38848;38631;38928;37883;32464;38020;36964;37491;37448;37161;35769;37433;37147
37820;31551;39064;38787;37521;38760;38816;38875;38778;38742;36599;28234;37884;37585;37321;37726;37548;36693;38313;37767
38975;33607;38937;38724;32014;38721;38786;38757;38828;38852;36695;36790;37503;37780;35639;37603;37636;37005;38526;38260
38957;35251;38185;38791;27278;38180;38713;38815;38897;38771;38278;36101;38163;37746;35485;37619;37371;37191;38438;37813
38893;33778;38818;38851;35834;37904;38843;38776;38854;38687;38612;37971;36207;37476;37165;37444;37684;38110;38131;38295
38971;36448;38992;38780;30367;38756;38768;38823;38932;38829;38908;38385;35469;37685;36693;37609;37600;36596;36858;37809
38991;36487;38332;38834;34706;38656;38861;38741;38896;38690;37385;38057;34733;37608;37442;36700;37568;37996;38201;38301
38922;38743;36669;38873;34853;38605;38703;38753;38720;38455;38205;38220;36009;37720;37694;31801;37152;38188;38178;38130
38970;38833;36434;38262;36370;38751;38337;38944;38896;38388;37732;38669;36978;37761;37721;34305;37011;37790;38292;38417
38986;38787;38027;38178;37547;38641;38840;38772;38856;38658;37965;37495;36369;37811;37552;36554;37182;36496;38239;38326
